Album,Artist,Year,Descriptors,Song 1,Song 2,Added
Ventura,Anderson .Paak,2019,"R&B, hip hop, funky",Winners Circle,King James,2022-06-25
Cold Water Burning Skin,Fieh,2019,"neo soul, groovy, funky",Flower,Glu,2022-06-26
Jungle Run,Nubiyan Twist,2019,"Afro-jazz, funky, electronic",Tell It To Me Slowly,Permission,2022-06-27
Djesse Vol. 2,Jacob Collier,2019,"folk, jazzy, eclectic",Feel,It Don't Matter,2022-06-28
Origin,Jordan Rakei,2019,"soulful, groovy, funky",Rolling into One,You & Me,2022-06-29
Little Ghost,Moonchild,2019,"neo soul, jazzy, groovy",Wise Women,Money,2022-06-30
Mixtape,Bobbing,2020-07-10,"funky, electronic, wonky",What Went Weird,Tous Les Jours,2022-07-01
Future Nostalgia,Dua Lipa,2020-03-27,"poppy, funky, groovy",Future Nostalgia,Pretty Please,2022-07-02
Djesse Vol. 3,Jacob Collier,2020-08-14,"R&B, funky, glitchy",All I Need,Sleeping On My Dreams,2022-07-03
Haven,Svaneborg Kardyb,2020-10-23,"jazzy, ethereal, mellow",Dæmningen,Bluesen,2022-07-04
What Kinda Music,Tom Misch & Yussef Dayes,2020-04-24,"funky, groovy, ethereal",Nightrider,Last 100,2022-07-05
Tako Tsubo,L'Impératrice,2021-03-26,"funky, disco, groovy",Fou,Peur des filles,2022-07-06
So Many Me,Michael League,2021-06-25,"groovy, ethereal, worldbeat",Sentinel Species,Since You've Been By,2022-07-07
Bones,Michael Mayo,2021-06-04,"jazzy, groovy, lush",About Your Love,20/20,2022-07-08
Sweet Side,Raquel Rodriguez,2021-04-23,"R&B, neo soul, funky",Leave Me Behind,Last Night,2022-07-09
Juno,Remi Wolf,2021-10-15,"poppy, funky, mucky",wyd,Grumpy Old Man,2022-07-10
here's some stuff,Sam Greenfield,2021-03-26,"funky, jazzy, poppy",banana song,in love,2022-07-11
An Evening With Silk Sonic,Silk Sonic,2021-11-12,"funky, soulful, smooth",Fly As Me,Skate,2022-07-12
Evergreen,Crackazat,2022-05-13,"house, groovy, jazzy",Everybody Talks About It,Evergreen,2022-07-13
"Greatest Hits, Vol. 3",Jacob Mann Big Band,2022-04-01,"jazzy, funky, playful",The Soy Lentman Show,Flight Screen Solitaire,2022-07-14
NOT TiGHT,DOMi & JD Beck,2022-07-29,"jazzy, groovy, tight",U DON'T HAVE TO ROB ME,SNiFF,2022-07-15
Quality Over Opinion,Louis Cole,2022-10-14,"funky, mellow, raw",I'm Tight,Don't Care,2022-07-16
Oh No! It's Devo,Devo,1982,"new wave, groovy, synth pop",Time Out For Fun,Big Mess,2022-12-12
Blazing Arrow,Blackalicious,2002,"hip hop, funky, jazzy",Green Light: Now Begin,Make You Feel That Way,2022-12-13
106,Jacob Mann,2020-08-28,"jazzy, electronic, minimal",Ziti,Barstow,2022-12-14
The State of Things,Quentin Angus,2022-03-18,"jazz, mellow, groovy",Broken Bones,New York Muster,2022-12-19
"Crisis & Opportunity, Vol. 2 - Peaks",Myele Manzanza,2021-11-19,"jazz, groovy, electronic",The People's Changes,A Night in Berlin,2022-12-22
Too Much to Ask,Cheekface,2022-08-02,"punk, groovy, goofy",Pledge Drive,Featured Singer,2022-12-23
Below the Heavens,Blu & Exile,2007,"hip hop, jazzy, soulful",Juice n' Dranks,Dancing in the Rain,2022-12-27
Ruby Vroom,Soul Coughing,1994,"alt rock, jazzy, hip hop",Casiotone Nation,Down to This,2022-12-28
"Fantastic, Vol. 2",Slum Village,2000,"hip hop, funky, stanky",Get Dis Money,Players,2023-01-11
